sqrt_s_GeV,mode,t_GeV2,dt_min_GeV2,dt_max_GeV2,dsig_dt_mb_GeV2,err_stat_plus,err_stat_minus,err_sys_plus,err_sys_minus,err_total_plus,err_total_minus,paper_ins
9.776,pp,0.075,0.0,0.0,35.54,0.32,0.32,1.0662,1.0662,1.1131857167606851,1.1131857167606851,ins110409
9.776,pp,0.11,0.0,0.0,25.03,0.46,0.46,0.7509,0.7509,0.8805968487338574,0.8805968487338574,ins110409
9.776,pp,0.13,0.0,0.0,20.26,0.44,0.44,0.6078,0.6078,0.7503471463262855,0.7503471463262855,ins110409
9.776,pp,0.15,0.0,0.0,16.69,0.36,0.36,0.5007,0.5007,0.616685081707025,0.616685081707025,ins110409
9.776,pp,0.17,0.0,0.0,13.61,0.45,0.45,0.40829999999999994,0.40829999999999994,0.6076256166423532,0.6076256166423532,ins110409
9.776,pp,0.2,0.0,0.0,10.5,0.23,0.23,0.315,0.315,0.39003204996512786,0.39003204996512786,ins110409
9.776,pp,0.25,0.0,0.0,6.39,0.16,0.16,0.19169999999999998,0.19169999999999998,0.24969759710497816,0.24969759710497816,ins110409
9.776,pp,0.3,0.0,0.0,4.01,0.12,0.12,0.12029999999999999,0.12029999999999999,0.16991789193607598,0.16991789193607598,ins110409
9.776,pp,0.35,0.0,0.0,2.48,0.08,0.08,0.0744,0.0744,0.10924907322261365,0.10924907322261365,ins110409
9.776,pp,0.4,0.0,0.0,1.62,0.09,0.09,0.048600000000000004,0.048600000000000004,0.10228372304526268,0.10228372304526268,ins110409
9.776,pp,0.45,0.0,0.0,1.04,0.05,0.05,0.0312,0.0312,0.0589358973801197,0.0589358973801197,ins110409
9.776,pp,0.5,0.0,0.0,0.59,0.05,0.05,0.017699999999999997,0.017699999999999997,0.05304045625746446,0.05304045625746446,ins110409
9.776,pp,0.55,0.0,0.0,0.42,0.05,0.05,0.012599999999999998,0.012599999999999998,0.05156316514722502,0.05156316514722502,ins110409
9.776,pp,0.65,0.0,0.0,0.17,0.01,0.01,0.0051,0.0051,0.01122541758688736,0.01122541758688736,ins110409
9.776,pp,0.75,0.0,0.0,0.09,0.01,0.01,0.0026999999999999997,0.0026999999999999997,0.010358088626768937,0.010358088626768937,ins110409
18.168,pbarp,0.0375,0.0,0.0,46.6,5.68,5.68,1.398,1.398,5.849513142134138,5.849513142134138,ins110409
18.168,pbarp,0.075,0.0,0.0,32.95,1.22,1.22,0.9885,0.9885,1.5702013405929827,1.5702013405929827,ins110409
18.168,pbarp,0.11,0.0,0.0,25.06,2.39,2.39,0.7517999999999999,0.7517999999999999,2.50545469725557,2.50545469725557,ins110409
18.168,pbarp,0.13,0.0,0.0,16.07,2.12,2.12,0.4821,0.4821,2.174125205686186,2.174125205686186,ins110409
